,0,1
397,346,66784095180793
398,346,66853991016046
399,346,6686647238554
400,346,6690890897459
401,346,6691639777364
402,346,67610345777535
403,346,67607849611477
404,346,6768523059201
405,346,67690222901473
406,346,67657772864266
407,346,67665261339783
408,346,5806487560601
409,346,5807236822752
410,346,5796497367628
411,346,57962476120656
412,346,58047392809885
413,346,5803740263275
414,346,59563335444795
415,346,5957082741845
416,346,5961328187468
417,346,5962576845966
418,346,5969569316928
419,346,597006877806
420,346,5846447756569
421,346,58461980082063
422,346,58614325924964
423,346,5862681322975
424,346,58586853822766
425,346,5860183861118
426,346,59296119599685
427,346,592861301424
428,346,59445960767937
429,346,59450955451234
430,346,59336077371233
431,346,59351061511813
432,346,55292383265873
433,346,5529737914651
434,346,5521744488353
435,346,5521494693187
436,346,5527239972894
437,346,55264905896644
438,346,56791082858234
439,346,5679607830679
440,346,568660144354
441,346,56878503000087
442,346,5692096405272
443,346,5692845716885
444,346,5596681412327
445,346,55964316279636
446,346,56116684082394
447,346,5612917318714
448,346,56089208020256
449,346,5610419496864
450,346,5652132649752
451,346,5651383320534
452,346,566711916608
453,346,56678684884946
454,346,56588765981394
455,346,5660375249772
456,346,63616020178665
457,346,636135234373
458,346,6354111778143
459,346,63531130770673
460,346,6351365348801
461,346,6350616321861
462,346,6511400015049
463,346,65111503624917
464,346,65188895750714
465,346,6519388877922
466,346,6516143406821
467,346,651689236223
468,346,64290127187576
469,346,642801406084
470,346,6443992518464
471,346,6444491842891
472,346,6433007344672
473,346,6434505327016
474,346,6401299747987
475,346,6400550742627
476,346,6416279787212
477,346,64170287857746
478,346,64080407816607
479,346,6409538785583
480,345,39928566067937
481,345,399260514129
482,345,4000400554874
483,345,4000903483575
484,345,3997634444404
485,345,3998388838608
486,345,3917415313462
487,345,3917163836973
488,345,3917415313462
489,345,3917163836973
490,345,39146490700705
491,345,39146490700705
492,345,4000400554874
493,345,4000903483575
494,345,39928566067937
495,345,399260514129
496,345,3998388838608
497,345,3997634444404
498,345,3972487782371
499,345,3973242187559
500,345,3964943712359
501,345,3964943712359
502,345,3973242187559
503,345,3972487782371
504,345,5500990918123
505,345,55007396720725
506,345,55085282826326
507,345,5509030772431
508,345,550576458613
509,345,55065183219784
510,345,5576363083586
511,345,55761118484963
512,345,5591437122125
513,345,55926932860666
514,345,5588673558238
515,345,55901809572697
516,345,5659268668138
517,345,5659771114099
518,345,5666805342206
519,345,5668061451355
520,345,56723322156296
521,345,56730858788177
522,345,5631382688239
523,345,5632136369289
524,345,5638919483945
525,345,56404268391407
526,345,564720992125
527,345,5647963595396
528,345,4671679997049
529,345,46714286303586
530,345,4671679997049
531,345,46714286303586
532,345,46689149614457
533,345,46689149614457
534,345,4822493416327
535,345,4822242071582
536,345,48375740340896
537,345,4838830746294
538,345,4834809264022
539,345,48363173209714
540,345,4822493416327
541,345,4822242071582
542,345,48375740340896
